customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer2303@localhost,1770590717.6905813,1770590719.2705371,1770590722.1999533,teller1@localhost,1.579955816268921,4.509371995925903
customer5572@localhost,1770590718.2539215,1770590720.176433,1770590724.7604277,teller2@localhost,1.9225115776062012,6.5065062046051025
customer7403@localhost,1770590718.8510058,1770590720.6866827,1770590723.5032127,teller3@localhost,1.835676908493042,4.652206897735596
customer5482@localhost,1770590720.387871,1770590722.2001534,1770590725.4245043,teller1@localhost,1.8122823238372803,5.036633253097534
customer1170@localhost,1770590723.1189475,1770590723.5032709,1770590726.263977,teller3@localhost,0.3843233585357666,3.1450295448303223
customer9892@localhost,1770590724.3521314,1770590724.3521593,1770590727.7662563,teller4@localhost,2.7894973754882812e-05,3.4141249656677246
customer2695@localhost,1770590725.8519282,1770590725.851957,1770590730.6228414,teller2@localhost,2.8848648071289062e-05,4.770913124084473
customer3114@localhost,1770590726.8785427,1770590726.8785806,1770590730.2734537,teller3@localhost,3.790855407714844e-05,3.394911050796509
customer4377@localhost,1770590727.45989,1770590727.459915,1770590732.789833,teller1@localhost,2.5033950805664062e-05,5.3299431800842285
customer4079@localhost,1770590728.3541133,1770590728.3541372,1770590733.2776084,teller4@localhost,2.384185791015625e-05,4.923495054244995
customer4715@localhost,1770590729.1238267,1770590730.273594,1770590733.168437,teller3@localhost,1.1497671604156494,4.044610261917114
customer1586@localhost,1770590730.354739,1770590730.6228995,1770590734.597874,teller2@localhost,0.2681605815887451,4.24313497543335
customer9836@localhost,1770590731.8638754,1770590732.7899666,1770590736.5430717,teller1@localhost,0.926091194152832,4.679196357727051
customer3740@localhost,1770590732.849554,1770590733.1685162,1770590736.4712543,teller3@localhost,0.31896209716796875,3.6217002868652344
customer3007@localhost,1770590733.8389933,1770590733.839015,1770590737.654711,teller4@localhost,2.1696090698242188e-05,3.8157176971435547
customer1581@localhost,1770590734.8593037,1770590734.8593292,1770590738.262575,teller2@localhost,2.5510787963867188e-05,3.403271198272705
customer4475@localhost,1770590735.1978235,1770590736.4713144,1770590740.4395077,teller3@localhost,1.2734909057617188,5.241684198379517
customer2135@localhost,1770590735.7543557,1770590736.5431302,1770590741.676628,teller1@localhost,0.7887744903564453,5.922272443771362
customer1814@localhost,1770590736.8715997,1770590737.6548462,1770590742.414252,teller4@localhost,0.7832465171813965,5.542652368545532
customer1653@localhost,1770590737.426844,1770590738.262624,1770590740.4328613,teller2@localhost,0.835780143737793,3.0060174465179443
customer5918@localhost,1770590738.3555915,1770590740.4395862,1770590742.6297224,teller3@localhost,2.0839946269989014,4.274130821228027
customer1121@localhost,1770590739.9131925,1770590742.414302,1770590744.425655,teller4@localhost,2.5011096000671387,4.512462377548218
customer1944@localhost,1770590740.4861584,1770590742.6297874,1770590745.285706,teller3@localhost,2.1436290740966797,4.7995476722717285
customer7307@localhost,1770590741.0577776,1770590744.4257278,1770590749.357648,teller4@localhost,3.367950201034546,8.299870252609253
customer8367@localhost,1770590741.8567228,1770590745.285797,1770590748.3785815,teller3@localhost,3.429074287414551,6.5218586921691895
customer2490@localhost,1770590742.8565104,1770590747.206742,1770590751.5814478,teller2@localhost,4.350231647491455,8.724937438964844
customer2442@localhost,1770590743.6177828,1770590747.2068431,1770590751.6031992,teller1@localhost,3.5890603065490723,7.985416412353516
customer7651@localhost,1770590744.173742,1770590751.5815077,1770590756.2800844,teller2@localhost,7.407765626907349,12.106342315673828
customer5768@localhost,1770590744.749835,1770590751.6032507,1770590756.8494668,teller1@localhost,6.8534157276153564,12.099631786346436
customer5492@localhost,1770590745.349581,1770590754.8626204,1770590758.4918299,teller3@localhost,9.513039350509644,13.14224886894226
customer9521@localhost,1770590746.1329327,1770590754.8627338,1770590757.8629568,teller4@localhost,8.729801177978516,11.730024099349976
customer4294@localhost,1770590746.6324327,1770590756.280144,1770590761.2225199,teller2@localhost,9.647711277008057,14.590087175369263
customer5727@localhost,1770590747.206712,1770590756.849593,1770590761.9903743,teller1@localhost,9.642880916595459,14.78366231918335
customer7221@localhost,1770590747.8692544,1770590757.863009,1770590759.953025,teller4@localhost,9.993754625320435,12.083770751953125
customer9196@localhost,1770590749.3557572,1770590758.4918752,1770590761.2094338,teller3@localhost,9.136117935180664,11.853676557540894
customer9053@localhost,1770590749.9223669,1770590759.9531305,1770590764.1335926,teller4@localhost,10.030763626098633,14.211225748062134
customer2854@localhost,1770590750.4927247,1770590761.2095118,1770590765.7029479,teller3@localhost,10.716787099838257,15.210223197937012
