ts,queue_len
1770590730.354739,1
1770590730.3741443,1
1770590730.6229303,0
1770590730.804579,0
1770590731.8638754,1
1770590731.885429,1
1770590732.790039,0
1770590732.849554,1
1770590732.8700519,1
1770590733.1685557,0
1770590733.8389933,1
1770590733.839064,0
1770590733.8596292,0
1770590734.8593037,1
1770590734.8594127,0
1770590735.1978235,1
1770590735.7543557,2
1770590735.7747889,2
1770590735.8043215,2
1770590736.471345,1
1770590736.5431592,0
1770590736.8715997,1
1770590737.426844,2
1770590737.4478076,2
1770590737.6549191,1
1770590738.2626472,0
1770590738.3555915,1
1770590738.376356,1
1770590738.804595,1
1770590739.9131925,2
1770590740.4400551,1
1770590740.4861584,2
1770590741.0577776,3
1770590741.0779314,3
1770590741.8567228,4
1770590741.877541,4
1770590742.414328,3
1770590742.629812,2
1770590742.8565104,3
1770590742.8773944,3
1770590743.6177828,4
1770590744.173742,5
1770590744.4257538,4
1770590744.749835,5
1770590744.7698,5
1770590745.2858481,4
1770590745.349581,5
1770590745.3698602,5
1770590746.1329327,6
1770590746.154238,6
1770590746.6324327,7
1770590747.206712,8
1770590747.2068386,7
1770590747.2068818,6
1770590747.227844,6
1770590747.8692544,7
1770590747.8890224,7
1770590748.3044143,7
1770590749.3557572,8
1770590749.9223669,9
1770590750.4927247,10
1770590750.5140586,10
1770590751.340548,11
1770590751.3615813,11
1770590751.5815358,10
1770590751.6032755,9
1770590752.1188745,10
1770590752.699712,11
1770590752.7196906,11
1770590753.3593578,12
1770590753.3797169,12
1770590753.8046455,12
1770590754.8625855,13
1770590754.86273,12
1770590754.8627727,11
1770590754.8833895,11
1770590755.8498054,12
1770590755.8701596,12
1770590756.280183,11
1770590756.8438683,12
1770590756.8496335,11
1770590756.864842,11
1770590757.8500419,12
1770590757.863054,11
1770590757.8703842,11
1770590758.3048418,11
1770590758.4918983,10
1770590759.1235533,11
1770590759.6883733,12
1770590759.9531822,11
1770590760.277075,12
1770590760.2976913,12
1770590760.9402356,13
1770590760.9610515,13
1770590761.2095425,12
1770590761.2226486,11
1770590761.3046389,11
1770590761.9904497,10
1770590762.351424,11
1770590762.3717065,11
1770590763.1438763,12
1770590763.1649332,12
1770590763.8477879,13
1770590763.8683045,13
1770590764.1337187,12
1770590764.3044443,12
1770590764.526781,11
1770590765.080082,10
1770590765.3751993,11
1770590765.3967056,11
1770590765.7031093,10
1770590765.8037193,10
1770590766.3050427,10
1770590767.435016,11
1770590767.4567354,11
1770590767.9441779,10
1770590768.3540695,11
1770590768.3574126,10
1770590768.9608073,11
1770590768.9807827,11
1770590769.0505786,10
1770590769.064844,9
1770590769.3055003,9
1770590770.353284,10
1770590770.3742437,10
1770590770.8048046,10
1770590771.4681368,9
1770590771.9331872,10
1770590772.0995197,9
1770590772.6353536,10
1770590772.6561525,10
1770590772.6840324,9
1770590772.8777664,8
1770590773.3885727,9
1770590773.408885,9
1770590773.8037624,9
1770590774.3043272,9
1770590775.1818702,8
1770590775.2389703,7
1770590775.6989,8
1770590775.7191355,8
1770590776.461221,7
1770590776.606718,8
1770590777.363383,9
1770590777.3841274,9
1770590777.8048756,9
1770590777.8933952,8
1770590778.2636278,7
1770590778.283365,6
1770590778.3049424,6
1770590778.804497,6
1770590779.3037453,6
1770590779.955125,5
1770590780.655817,6
1770590780.6769588,6
1770590780.803621,6
1770590780.857571,5
1770590781.3039305,5
1770590781.804368,5
1770590781.8252726,4
1770590782.878662,5
1770590782.8990989,5
1770590782.8998034,4
1770590783.2474687,3
1770590783.3045704,3
1770590784.1866384,4
1770590784.207526,4
1770590784.6435843,3
1770590785.1003807,4
1770590785.1213114,4
1770590785.304425,4
1770590786.343645,5
1770590786.3642404,5
1770590786.8038135,5
1770590786.827847,4
1770590786.8595288,3
1770590787.3044646,3
1770590787.36605,2
1770590787.8033576,2
1770590787.8575895,1
1770590788.852,2
1770590788.8732145,2
1770590789.0577915,1
1770590789.3043096,1
1770590789.806535,1
1770590790.3772666,0
1770590790.8718693,1
1770590790.8719623,0
1770590790.8952365,0
1770590791.305407,0
1770590791.8043597,0
1770590792.6260467,1
1770590792.626136,0
1770590792.6466732,0
1770590793.356614,1
1770590793.3567193,0
1770590793.3763313,0
1770590793.8038144,0
1770590794.850872,1
1770590794.851088,0
1770590794.8717225,0
1770590795.3043146,0
1770590795.805535,0
1770590796.879952,1
1770590796.8800328,0
1770590797.7370522,1
1770590797.7371564,0
1770590797.7579808,0
1770590797.803758,0
1770590798.3041124,0
1770590798.8042858,0
1770590799.3044453,0
1770590799.8050983,0
1770590800.3043501,0
1770590800.803612,0
1770590801.3034654,0
1770590801.8035648,0
1770590802.3042743,0
1770590802.8043656,0
1770590803.3046696,0
1770590803.8036132,0
1770590804.3033116,0
1770590804.8039088,0
1770590805.303278,0
1770590805.8041172,0
1770590806.3039184,0
