customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer5832@localhost,1770589119.2636263,1770589119.2636464,1770589124.4358246,teller4@localhost,2.002716064453125e-05,5.172198295593262
customer2364@localhost,1770589119.8054278,1770589119.8054655,1770589123.3762064,teller3@localhost,3.7670135498046875e-05,3.5707786083221436
customer9306@localhost,1770589120.544592,1770589120.5446095,1770589122.812865,teller1@localhost,1.7642974853515625e-05,2.268273115158081
customer3184@localhost,1770589121.0970323,1770589121.0970511,1770589126.3400886,teller2@localhost,1.8835067749023438e-05,5.243056297302246
customer2762@localhost,1770589121.6408472,1770589122.8129194,1770589127.9478052,teller1@localhost,1.172072172164917,6.306957960128784
customer5672@localhost,1770589122.2724621,1770589123.3763242,1770589128.2987204,teller3@localhost,1.1038620471954346,6.026258230209351
customer5816@localhost,1770589123.2865262,1770589124.4359102,1770589127.51357,teller4@localhost,1.1493840217590332,4.227043867111206
customer9642@localhost,1770589123.8347495,1770589126.3402493,1770589128.4720914,teller2@localhost,2.505499839782715,4.6373419761657715
customer4272@localhost,1770589124.778457,1770589127.5136635,1770589130.181113,teller4@localhost,2.7352066040039062,5.402656078338623
customer3962@localhost,1770589125.3401089,1770589127.947851,1770589132.1119368,teller1@localhost,2.6077420711517334,6.771827936172485
customer8452@localhost,1770589125.885769,1770589128.2988229,1770589130.9299486,teller3@localhost,2.4130539894104004,5.044179677963257
customer8146@localhost,1770589126.7685876,1770589128.4722831,1770589130.9309216,teller2@localhost,1.70369553565979,4.162333965301514
customer3742@localhost,1770589127.7601314,1770589130.1811755,1770589134.3351886,teller4@localhost,2.421044111251831,6.5750572681427
customer3896@localhost,1770589128.312946,1770589130.9300468,1770589133.8280897,teller3@localhost,2.617100715637207,5.515143632888794
customer3482@localhost,1770589129.2734766,1770589130.9310367,1770589133.404929,teller2@localhost,1.657560110092163,4.131452322006226
customer5527@localhost,1770589130.2695928,1770589132.1120014,1770589137.0666695,teller1@localhost,1.8424086570739746,6.79707670211792
customer8672@localhost,1770589130.8216162,1770589133.4049761,1770589136.7628617,teller2@localhost,2.583359956741333,5.9412455558776855
customer8879@localhost,1770589131.387199,1770589133.8282077,1770589136.3790085,teller3@localhost,2.4410088062286377,4.991809606552124
customer4337@localhost,1770589133.547599,1770589134.3352458,1770589138.733794,teller4@localhost,0.7876467704772949,5.186194896697998
customer3002@localhost,1770589134.7776258,1770589136.379062,1770589139.139625,teller3@localhost,1.6014361381530762,4.361999273300171
customer2842@localhost,1770589135.7669306,1770589136.76297,1770589138.8834822,teller2@localhost,0.9960393905639648,3.116551637649536
customer9665@localhost,1770589137.7742233,1770589137.774241,1770589141.9664347,teller1@localhost,1.7642974853515625e-05,4.192211389541626
customer4603@localhost,1770589138.7593753,1770589138.7594135,1770589143.4417248,teller4@localhost,3.814697265625e-05,4.682349443435669
customer2681@localhost,1770589139.5331538,1770589139.5331702,1770589142.9025989,teller2@localhost,1.6450881958007812e-05,3.3694450855255127
customer3746@localhost,1770589140.0844002,1770589140.0844178,1770589143.4703317,teller3@localhost,1.7642974853515625e-05,3.3859314918518066
customer7588@localhost,1770589140.6297722,1770589141.9664865,1770589145.3574991,teller1@localhost,1.336714267730713,4.727726936340332
customer8686@localhost,1770589141.2766447,1770589142.9026475,1770589147.2523143,teller2@localhost,1.6260027885437012,5.975669622421265
customer3939@localhost,1770589142.263,1770589143.4417825,1770589148.4502354,teller4@localhost,1.1787824630737305,6.187235355377197
customer3289@localhost,1770589143.2905672,1770589143.470455,1770589148.864735,teller3@localhost,0.1798877716064453,5.574167728424072
customer4281@localhost,1770589144.0517685,1770589145.3575563,1770589148.8903117,teller1@localhost,1.3057878017425537,4.838543176651001
customer2827@localhost,1770589144.6005807,1770589147.252415,1770589152.7287214,teller2@localhost,2.65183424949646,8.128140687942505
customer3529@localhost,1770589145.2732692,1770589148.4502842,1770589153.2027168,teller4@localhost,3.1770150661468506,7.929447650909424
customer3228@localhost,1770589146.281175,1770589148.8648558,1770589151.843587,teller3@localhost,2.5836808681488037,5.5624120235443115
customer2911@localhost,1770589147.2787318,1770589148.890382,1770589152.8236501,teller1@localhost,1.6116502285003662,5.5449182987213135
customer2237@localhost,1770589147.843179,1770589151.8436499,1770589155.5941572,teller3@localhost,4.000470876693726,7.750978231430054
customer4545@localhost,1770589148.7656407,1770589152.7288268,1770589156.5889463,teller2@localhost,3.963186025619507,7.823305606842041
customer8010@localhost,1770589151.2661214,1770589152.8236954,1770589157.5350065,teller1@localhost,1.5575740337371826,6.268885135650635
