customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer6247@localhost,1770590321.2484672,1770590321.2485228,1770590324.0759544,teller4@localhost,5.555152893066406e-05,2.8274872303009033
customer8299@localhost,1770590322.2426538,1770590322.242697,1770590325.3266134,teller1@localhost,4.315376281738281e-05,3.0839595794677734
customer7159@localhost,1770590322.9026878,1770590322.902736,1770590327.6970286,teller3@localhost,4.8160552978515625e-05,4.7943408489227295
customer8808@localhost,1770590323.8302665,1770590323.8302896,1770590327.58752,teller2@localhost,2.3126602172851562e-05,3.757253408432007
customer5339@localhost,1770590324.4678454,1770590324.467882,1770590327.4185116,teller4@localhost,3.647804260253906e-05,2.9506661891937256
customer2372@localhost,1770590325.0979574,1770590325.3267279,1770590330.2877054,teller1@localhost,0.22877049446105957,5.189748048782349
customer9754@localhost,1770590325.5292714,1770590327.4185674,1770590331.7044713,teller4@localhost,1.889296054840088,6.17519998550415
customer8428@localhost,1770590326.089427,1770590327.5876386,1770590332.5500634,teller2@localhost,1.4982116222381592,6.460636377334595
customer5280@localhost,1770590326.7571876,1770590327.6971426,1770590331.640019,teller3@localhost,0.9399549961090088,4.882831335067749
customer2760@localhost,1770590327.323279,1770590330.2878246,1770590334.252785,teller1@localhost,2.964545726776123,6.929506063461304
customer1262@localhost,1770590327.6709082,1770590331.6400812,1770590335.2417486,teller3@localhost,3.969172954559326,7.570840358734131
customer4152@localhost,1770590328.2936597,1770590331.7045193,1770590336.4288428,teller4@localhost,3.4108595848083496,8.135183095932007
customer5477@localhost,1770590329.0343988,1770590332.5501206,1770590335.8256276,teller2@localhost,3.5157217979431152,6.791228771209717
customer8133@localhost,1770590330.2620127,1770590334.2528734,1770590338.8433917,teller1@localhost,3.9908607006073,8.581378936767578
customer6605@localhost,1770590332.2801814,1770590335.2417977,1770590338.3661425,teller3@localhost,2.961616277694702,6.085961103439331
customer3845@localhost,1770590332.8491387,1770590335.8256757,1770590340.1949198,teller2@localhost,2.976536989212036,7.345781087875366
customer1929@localhost,1770590333.75284,1770590336.4289405,1770590340.1149492,teller4@localhost,2.676100492477417,6.362109184265137
customer1933@localhost,1770590334.3207037,1770590338.3662164,1770590341.3388984,teller3@localhost,4.045512676239014,7.018194675445557
customer4156@localhost,1770590335.2607648,1770590338.8434412,1770590342.7804449,teller1@localhost,3.582676410675049,7.519680023193359
customer3569@localhost,1770590336.2652178,1770590340.114998,1770590345.4755378,teller4@localhost,3.849780321121216,9.210319995880127
customer3120@localhost,1770590336.8455105,1770590340.1951747,1770590345.0886111,teller2@localhost,3.3496642112731934,8.243100643157959
customer5774@localhost,1770590337.4153206,1770590341.3389442,1770590346.4649627,teller3@localhost,3.923623561859131,9.049642086029053
