ts,queue_len
1770589333.1846826,0
1770589334.2262871,1
1770589334.2263498,0
1770589334.247317,0
1770589334.6866703,0
1770589335.1858017,0
1770589336.2244503,1
1770589336.2245038,0
1770589336.2458076,0
1770589337.2062762,1
1770589337.206326,0
1770589337.2274292,0
1770589338.2240515,1
1770589338.2241004,0
1770589338.767183,1
1770589338.767232,0
1770589338.788405,0
1770589339.7314427,1
1770589339.872282,0
1770589340.28402,1
1770589340.6244547,2
1770589340.6445765,2
1770589340.6851737,2
1770589341.4954214,1
1770589341.729926,2
1770589341.7512648,2
1770589342.185955,2
1770589342.769588,1
1770589343.2147162,2
1770589343.2366245,2
1770589343.508961,1
1770589344.056094,0
1770589344.2225208,1
1770589344.2424972,1
1770589344.4063585,0
1770589344.6850963,0
1770589345.7288399,1
1770589345.7513068,1
1770589346.1859643,1
1770589346.6246722,0
1770589346.6853383,0
1770589347.7178156,1
1770589347.717863,0
1770589347.738369,0
1770589348.7140698,1
1770589348.714117,0
1770589349.2667825,1
1770589349.2668316,0
1770589349.2883306,0
1770589350.2189584,1
1770589350.2190254,0
1770589350.23886,0
1770589351.2224574,1
1770589351.2225125,0
1770589351.242879,0
1770589351.685812,0
1770589352.185482,0
1770589352.998058,1
1770589352.9981475,0
1770589353.5435514,1
1770589353.543606,0
1770589353.5637097,0
1770589354.0011468,1
1770589354.0012727,0
1770589354.0217185,0
1770589354.186027,0
1770589355.2293909,1
1770589355.2294376,0
1770589355.2509782,0
1770589356.2327318,1
1770589356.2328372,0
1770589356.2533238,0
1770589357.2216036,1
1770589357.2216847,0
1770589357.2418208,0
1770589357.6853025,0
1770589358.7347858,1
1770589358.73485,0
1770589359.2984676,1
1770589359.3192413,1
1770589359.4626322,0
1770589360.2238593,1
1770589360.2239208,0
1770589360.7764447,1
1770589360.776498,0
1770589360.797896,0
1770589361.7173557,1
1770589361.7186918,0
1770589362.270368,1
1770589362.2910845,1
1770589362.913368,0
1770589363.0066483,1
1770589363.5759628,2
1770589364.1349905,3
1770589364.1555007,3
1770589364.7128985,4
1770589364.733322,4
1770589364.8879657,3
1770589365.6241837,2
1770589365.7268007,3
1770589365.7474563,3
1770589366.1716647,2
1770589366.1864593,2
1770589366.7863207,1
1770589367.2220664,2
1770589367.2426224,2
1770589368.2079878,3
1770589368.228849,3
1770589369.183833,2
1770589369.2126348,3
1770589369.232685,3
1770589369.903572,2
1770589370.2138033,3
1770589370.308804,2
1770589370.7944915,3
1770589371.256118,2
1770589371.353538,3
1770589371.3735702,3
1770589371.6878433,3
1770589372.0732048,2
1770589372.7151053,3
1770589372.734811,3
1770589373.667527,2
1770589373.7186053,3
1770589373.993836,2
1770589374.2897463,3
1770589374.3116126,3
1770589374.5140615,2
1770589375.2235408,3
1770589375.244839,3
1770589375.6858153,3
1770589376.1854763,3
1770589376.4836016,2
1770589376.686377,2
1770589376.715465,1
1770589377.5417948,0
1770589377.7411063,1
1770589377.761377,1
1770589378.1866672,1
1770589378.6863062,1
1770589378.9218068,0
1770589379.7256787,1
1770589379.7257872,0
1770589380.0571918,1
1770589380.078093,1
1770589380.1864896,1
1770589380.3115497,0
1770589381.2217193,1
1770589381.2415004,1
1770589381.5952775,0
1770589382.0039122,1
1770589382.024763,1
1770589382.1859846,1
1770589382.4040534,0
1770589382.685841,0
1770589383.1857631,0
1770589383.686318,0
1770589384.1860843,0
1770589385.002574,1
1770589385.0026288,0
1770589385.0231473,0
1770589385.1860063,0
1770589385.6854224,0
1770589386.1864977,0
1770589386.6856513,0
1770589387.1853673,0
1770589387.6858516,0
1770589388.7187586,1
1770589388.7188163,0
1770589389.3430395,1
1770589389.3431091,0
1770589389.363226,0
1770589390.2098606,1
1770589390.7572248,2
1770589391.3014982,3
1770589391.3224225,3
1770589391.3998535,2
1770589392.2387106,3
1770589392.6379504,2
1770589392.7976298,3
1770589392.8190494,3
1770589393.4312243,2
1770589393.4312532,1
1770589393.7236757,2
1770589394.2908971,3
1770589394.8368285,4
1770589394.8578017,4
1770589395.184989,4
