customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer7835@localhost,1770589770.2115197,1770589770.211543,1770589773.7119908,teller2@localhost,2.3365020751953125e-05,3.5004711151123047
customer8955@localhost,1770589771.2102032,1770589771.2102253,1770589775.3155127,teller3@localhost,2.2172927856445312e-05,4.10530948638916
customer9593@localhost,1770589772.214034,1770589772.2140512,1770589777.3341928,teller4@localhost,1.71661376953125e-05,5.120158672332764
customer6291@localhost,1770589773.2078376,1770589773.2078557,1770589777.3470786,teller1@localhost,1.811981201171875e-05,4.139240980148315
customer7448@localhost,1770589773.7595804,1770589773.7596018,1770589779.1598852,teller2@localhost,2.1457672119140625e-05,5.400304794311523
customer1151@localhost,1770589774.0879648,1770589775.3155634,1770589778.8217838,teller3@localhost,1.2275986671447754,4.733819007873535
customer4038@localhost,1770589775.2064798,1770589777.3343086,1770589779.8528438,teller4@localhost,2.12782883644104,4.646363973617554
customer9882@localhost,1770589775.75974,1770589777.3471637,1770589780.306745,teller1@localhost,1.58742356300354,4.54700493812561
customer4325@localhost,1770589776.712967,1770589778.8218331,1770589782.624687,teller3@localhost,2.1088662147521973,5.911720037460327
customer3464@localhost,1770589777.7514951,1770589779.1599321,1770589783.795716,teller2@localhost,1.4084370136260986,6.044220924377441
customer7398@localhost,1770589778.0927052,1770589779.8529384,1770589784.8285596,teller4@localhost,1.7602331638336182,6.735854387283325
customer8481@localhost,1770589778.4376087,1770589780.3068619,1770589782.5782835,teller1@localhost,1.869253158569336,4.140674829483032
customer7550@localhost,1770589779.046638,1770589782.5784023,1770589784.744655,teller1@localhost,3.531764268875122,5.698016881942749
customer3033@localhost,1770589779.4131255,1770589782.6247475,1770589786.3762863,teller3@localhost,3.2116219997406006,6.963160753250122
customer5873@localhost,1770589780.2469194,1770589783.7958145,1770589787.6358666,teller2@localhost,3.5488951206207275,7.388947248458862
customer5465@localhost,1770589781.2626386,1770589784.7447045,1770589790.1378686,teller1@localhost,3.4820659160614014,8.875230073928833
customer7842@localhost,1770589781.8306568,1770589784.828754,1770589787.959958,teller4@localhost,2.9980971813201904,6.129301309585571
customer3085@localhost,1770589782.4029999,1770589786.3763366,1770589789.1585302,teller3@localhost,3.973336696624756,6.75553035736084
customer7083@localhost,1770589783.230663,1770589787.6359868,1770589790.940824,teller2@localhost,4.40532374382019,7.710160970687866
customer1895@localhost,1770589783.8425057,1770589787.9600477,1770589792.0590277,teller4@localhost,4.117542028427124,8.216521978378296
customer4697@localhost,1770589784.4394207,1770589789.1585808,1770589792.514641,teller3@localhost,4.719160079956055,8.075220346450806
customer7924@localhost,1770589784.7926145,1770589790.1380644,1770589793.052299,teller1@localhost,5.345449924468994,8.259684562683105
customer8330@localhost,1770589785.7876554,1770589790.9408824,1770589794.2656662,teller2@localhost,5.153227090835571,8.478010892868042
customer3457@localhost,1770589786.459876,1770589792.0591526,1770589795.889134,teller4@localhost,5.599276542663574,9.429257869720459
customer5928@localhost,1770589787.053832,1770589792.514795,1770589796.8628755,teller3@localhost,5.460963010787964,9.809043407440186
customer3879@localhost,1770589788.2350068,1770589793.0523517,1770589797.025604,teller1@localhost,4.817344903945923,8.790597200393677
customer6565@localhost,1770589788.7921407,1770589794.2657917,1770589796.7116144,teller2@localhost,5.473650932312012,7.919473648071289
customer4320@localhost,1770589789.3592315,1770589795.8892365,1770589799.9069016,teller4@localhost,6.530004978179932,10.547670125961304
customer5803@localhost,1770589790.2344916,1770589796.7117043,1770589801.708315,teller2@localhost,6.47721266746521,11.473823308944702
customer3695@localhost,1770589790.810325,1770589796.862952,1770589801.262678,teller3@localhost,6.052627086639404,10.45235300064087
customer5208@localhost,1770589791.7764275,1770589797.0256524,1770589801.278014,teller1@localhost,5.249224901199341,9.501586437225342
customer4072@localhost,1770589792.752282,1770589799.9069526,1770589803.754243,teller4@localhost,7.154670715332031,11.00196099281311
customer5541@localhost,1770589793.5250468,1770589801.2627459,1770589803.5705385,teller3@localhost,7.737699031829834,10.045491695404053
customer3273@localhost,1770589793.8845205,1770589801.2780647,1770589805.738356,teller1@localhost,7.3935441970825195,11.853835582733154
customer7401@localhost,1770589794.7783327,1770589801.70841,1770589804.7910585,teller2@localhost,6.930077314376831,10.012725830078125
customer3099@localhost,1770589795.1671422,1770589803.570628,1770589806.8737667,teller3@localhost,8.403485774993896,11.706624507904053
customer7572@localhost,1770589796.764795,1770589803.7542973,1770589807.3549378,teller4@localhost,6.989502191543579,10.590142726898193
customer2442@localhost,1770589797.359693,1770589804.7911072,1770589807.6367207,teller2@localhost,7.4314141273498535,10.277027606964111
customer7465@localhost,1770589798.2616267,1770589805.7385201,1770589809.9507527,teller1@localhost,7.476893424987793,11.689126014709473
customer2227@localhost,1770589798.8630624,1770589806.873881,1770589809.413,teller3@localhost,8.010818719863892,10.549937725067139
customer3978@localhost,1770589799.7546914,1770589807.3550417,1770589810.8852649,teller4@localhost,7.600350379943848,11.130573511123657
customer7520@localhost,1770589800.341068,1770589807.636774,1770589811.3661082,teller2@localhost,7.295706033706665,11.02504014968872
customer1768@localhost,1770589800.7103558,1770589809.413112,1770589814.2745562,teller3@localhost,8.70275616645813,13.564200401306152
customer6573@localhost,1770589801.7971144,1770589809.9508848,1770589812.333792,teller1@localhost,8.153770446777344,10.536677598953247
customer1618@localhost,1770589802.4039314,1770589810.8853152,1770589814.0985723,teller4@localhost,8.481383800506592,11.694640874862671
customer4375@localhost,1770589802.959293,1770589811.3661892,1770589816.8082905,teller2@localhost,8.406896352767944,13.848997592926025
customer1846@localhost,1770589803.5345356,1770589812.3341563,1770589814.6387973,teller1@localhost,8.799620628356934,11.104261636734009
customer9155@localhost,1770589804.2311502,1770589814.0986648,1770589819.4299786,teller4@localhost,9.867514610290527,15.19882845878601
customer4297@localhost,1770589804.7945197,1770589814.27464,1770589819.4712856,teller3@localhost,9.480120420455933,14.67676591873169
customer6022@localhost,1770589805.3443651,1770589814.6388514,1770589819.325871,teller1@localhost,9.294486284255981,13.981505870819092
