customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer5275@localhost,1770595456.755741,1770595459.5530589,1770595462.0423822,teller1@localhost,2.7973179817199707,5.286641359329224
customer3593@localhost,1770595457.305581,1770595462.0424788,1770595466.6901097,teller1@localhost,4.736897706985474,9.384528636932373
customer6578@localhost,1770595457.8633604,1770595462.366064,1770595467.841755,teller3@localhost,4.502703666687012,9.978394508361816
customer8882@localhost,1770595458.4862344,1770595462.8207595,1770595467.9536219,teller2@localhost,4.334525108337402,9.467387437820435
customer3836@localhost,1770595459.038583,1770595463.5887675,1770595466.6188571,teller4@localhost,4.550184488296509,7.5802741050720215
customer5456@localhost,1770595459.6079564,1770595466.6189187,1770595468.651701,teller4@localhost,7.010962247848511,9.043744564056396
customer8883@localhost,1770595462.5081365,1770595466.6901724,1770595471.2282374,teller1@localhost,4.18203592300415,8.72010087966919
customer5962@localhost,1770595463.0792084,1770595467.8418698,1770595471.847037,teller3@localhost,4.762661457061768,8.767828702926636
customer8764@localhost,1770595464.0077777,1770595467.9537377,1770595471.447494,teller2@localhost,3.94596004486084,7.439716339111328
customer1497@localhost,1770595466.5151367,1770595468.6517692,1770595473.4974122,teller4@localhost,2.1366324424743652,6.982275485992432
customer1401@localhost,1770595467.5123463,1770595471.228412,1770595475.434422,teller1@localhost,3.7160656452178955,7.9220757484436035
customer1954@localhost,1770595468.9952157,1770595471.4475615,1770595476.1918724,teller2@localhost,2.452345848083496,7.196656703948975
customer6931@localhost,1770595469.5856574,1770595471.847153,1770595475.5847156,teller3@localhost,2.261495590209961,5.999058246612549
customer1898@localhost,1770595471.0158088,1770595473.497477,1770595476.3540182,teller4@localhost,2.48166823387146,5.338209390640259
customer1639@localhost,1770595471.6129148,1770595475.4344854,1770595478.1052608,teller1@localhost,3.821570634841919,6.4923460483551025
customer2545@localhost,1770595472.1895442,1770595475.5848646,1770595478.968726,teller3@localhost,3.395320415496826,6.779181718826294
customer5329@localhost,1770595472.7660787,1770595476.191928,1770595479.7801955,teller2@localhost,3.425849199295044,7.0141167640686035
customer2102@localhost,1770595473.4925227,1770595476.3541076,1770595478.7182548,teller4@localhost,2.8615849018096924,5.225732088088989
customer4947@localhost,1770595474.9942799,1770595478.1053557,1770595481.38866,teller1@localhost,3.1110758781433105,6.39438009262085
customer6325@localhost,1770595476.5022283,1770595478.7183769,1770595482.0746965,teller4@localhost,2.216148614883423,5.572468280792236
customer2643@localhost,1770595477.054771,1770595478.9688253,1770595483.0874343,teller3@localhost,1.9140543937683105,6.032663345336914
customer3111@localhost,1770595481.4974198,1770595481.49744,1770595484.9033568,teller1@localhost,2.0265579223632812e-05,3.4059369564056396
customer9839@localhost,1770595482.128329,1770595482.1283524,1770595484.2276077,teller4@localhost,2.3365020751953125e-05,2.099278688430786
customer8505@localhost,1770595482.9847724,1770595482.9847918,1770595487.5827029,teller2@localhost,1.9311904907226562e-05,4.597930431365967
customer2531@localhost,1770595483.9820478,1770595483.9820683,1770595488.0277677,teller3@localhost,2.0503997802734375e-05,4.045719861984253
customer4375@localhost,1770595485.7657728,1770595485.7657912,1770595489.7581084,teller4@localhost,1.8358230590820312e-05,3.992335557937622
customer3871@localhost,1770595487.0035968,1770595488.0278327,1770595493.3536105,teller3@localhost,1.0242359638214111,6.350013732910156
customer5679@localhost,1770595488.491412,1770595489.7582254,1770595494.4186585,teller4@localhost,1.2668135166168213,5.927246570587158
customer2329@localhost,1770595490.494611,1770595493.3536637,1770595498.5893795,teller3@localhost,2.8590526580810547,8.094768524169922
customer6775@localhost,1770595492.9940023,1770595493.9987419,1770595499.2103589,teller1@localhost,1.00473952293396,6.216356515884399
customer6467@localhost,1770595493.9987204,1770595493.9987736,1770595496.6570177,teller2@localhost,5.316734313964844e-05,2.658297300338745
customer2108@localhost,1770595494.5526443,1770595496.6570773,1770595499.0633042,teller2@localhost,2.104433059692383,4.51065993309021
customer9376@localhost,1770595495.9927397,1770595499.0634277,1770595502.6107624,teller2@localhost,3.070688009262085,6.618022680282593
customer9978@localhost,1770595498.4992716,1770595499.2104769,1770595504.0244246,teller1@localhost,0.711205244064331,5.525152921676636
