ts,queue_len
1770595482.128329,1
1770595482.1283984,0
1770595482.1487448,0
1770595482.9847724,1
1770595482.9848294,0
1770595483.0058448,0
1770595483.9820478,1
1770595483.982117,0
1770595484.0020947,0
1770595484.4503703,0
1770595484.9506412,0
1770595485.7657728,1
1770595485.765825,0
1770595485.7866843,0
1770595485.950585,0
1770595487.0035968,1
1770595487.0244792,1
1770595487.4504411,1
1770595488.027857,0
1770595488.491412,1
1770595488.5123017,1
1770595488.952356,1
1770595489.4506142,1
1770595489.7584538,0
1770595490.494611,1
1770595490.5154266,1
1770595490.9501693,1
1770595491.4503481,1
1770595491.949953,1
1770595492.9940023,2
1770595493.0148058,2
1770595493.3536875,1
1770595493.9987204,2
1770595493.9987712,1
1770595493.9987955,0
1770595494.5526443,1
1770595494.5734878,1
1770595494.9496899,1
1770595495.9927397,2
1770595496.0119984,2
1770595496.4500306,2
1770595496.657122,1
1770595496.9508674,1
1770595497.449898,1
1770595498.4992716,2
1770595498.843947,3
1770595498.8646915,3
1770595498.9506333,3
1770595499.0636215,2
1770595499.21054,1
1770595499.450448,1
1770595500.4937742,2
1770595500.5143971,2
1770595500.9512048,2
1770595501.4503467,2
1770595501.9504557,2
1770595502.610964,1
1770595502.6110432,0
1770595502.9985917,1
1770595502.9986475,0
1770595503.019328,0
1770595503.4505932,0
1770595504.494831,1
1770595504.494948,0
1770595504.5150762,0
1770595504.9510083,0
1770595505.4498737,0
1770595506.4917367,1
1770595506.4918199,0
1770595507.0510757,1
1770595507.0511312,0
1770595507.0721815,0
1770595507.4509752,0
1770595508.4886777,1
1770595508.488735,0
1770595508.5096195,0
1770595508.9501803,0
1770595509.4505265,0
1770595509.949942,0
1770595510.4507053,0
1770595510.9501429,0
1770595512.001273,1
1770595512.0013435,0
1770595512.5547261,1
1770595512.5547845,0
1770595513.1080966,1
1770595513.1081555,0
1770595513.1280577,0
1770595513.4505765,0
1770595514.4991775,1
1770595514.4992256,0
1770595514.5201921,0
1770595514.9499214,0
1770595515.4499846,0
1770595515.9506955,0
1770595516.450436,0
1770595516.9503899,0
1770595517.9959877,1
1770595517.996056,0
1770595518.3304524,1
1770595518.3306363,0
1770595518.3507812,0
1770595518.450437,0
1770595518.9503448,0
1770595519.450455,0
1770595520.4846752,1
1770595520.4847314,0
1770595520.5059626,0
1770595520.9509523,0
1770595521.450197,0
1770595521.9516208,0
1770595522.4497907,0
1770595523.486457,1
1770595523.4865088,0
1770595523.5077124,0
1770595524.4935796,1
1770595524.4936337,0
1770595525.0609155,1
1770595525.0610144,0
1770595525.0816545,0
1770595525.45043,0
1770595526.4924839,1
