ts,queue_len
1770590861.5214577,1
1770590861.5215445,0
1770590862.0910618,1
1770590862.0911179,0
1770590862.6509275,1
1770590862.6509764,0
1770590862.6726432,0
1770590863.261998,1
1770590863.2620757,0
1770590863.282443,0
1770590864.257934,1
1770590864.3534322,0
1770590864.5978818,1
1770590865.1637897,2
1770590865.499886,3
1770590865.5210536,3
1770590866.237495,4
1770590866.4159598,3
1770590866.6988978,2
1770590866.8333526,3
1770590867.0281754,2
1770590867.1702409,3
1770590867.1903646,3
1770590867.2083821,3
1770590868.2501516,4
1770590868.341548,3
1770590868.588712,4
1770590868.609344,4
1770590869.2589283,5
1770590869.7118053,4
1770590869.8314407,5
1770590869.8520656,5
1770590870.183933,4
1770590870.2082274,4
1770590870.7796164,3
1770590871.2389412,4
1770590871.469026,3
1770590871.7385254,2
1770590871.8264863,3
1770590872.380782,4
1770590872.9409897,5
1770590873.5045047,6
1770590873.524495,6
1770590874.0204394,7
1770590874.040783,7
1770590874.2090383,7
1770590874.5219483,6
1770590874.6679466,5
1770590874.7814076,4
1770590875.25095,5
1770590875.796608,6
1770590875.8177378,6
1770590876.0190527,5
1770590876.7405093,6
1770590876.7619524,6
1770590876.8734744,5
1770590877.735488,6
1770590877.7563763,6
1770590878.7165,5
1770590878.7407842,6
1770590878.7615824,6
1770590879.0424032,5
1770590879.2961507,4
1770590879.7414052,5
1770590880.2978323,6
1770590880.6260068,7
1770590881.1786478,8
1770590881.517583,9
1770590881.5384429,9
1770590881.9651577,8
1770590882.0220652,9
1770590882.2761164,8
1770590882.5842931,9
1770590882.6748955,8
1770590882.7095852,7
1770590882.9213598,8
1770590882.941418,8
1770590883.7379684,9
1770590884.2784636,10
1770590884.8335834,11
1770590884.8539677,11
1770590885.1510391,10
1770590885.722824,9
1770590885.7510426,10
1770590885.7712924,10
1770590886.5585153,9
1770590886.6915257,8
1770590886.736994,9
1770590887.2772863,10
1770590887.297694,10
1770590888.2393057,11
1770590888.7915924,12
1770590888.8116007,12
1770590888.8543808,11
1770590889.460838,10
1770590889.7523222,11
1770590890.088328,12
1770590890.1088326,12
1770590890.1184072,11
1770590890.2087085,11
1770590890.4315305,10
1770590890.708489,10
1770590891.3153603,9
1770590891.735391,10
1770590892.2895834,11
1770590892.310978,11
1770590892.44695,10
1770590893.2545629,11
1770590893.7160685,10
1770590893.8074481,11
1770590893.8276248,11
1770590894.1581402,10
1770590894.2088492,10
1770590894.7086806,10
1770590895.0081224,9
1770590895.207614,9
1770590895.7794757,8
1770590896.0254076,9
1770590896.5684252,10
1770590896.7281199,9
1770590897.2050097,10
1770590897.2263632,10
1770590897.8880212,9
1770590898.2413967,10
1770590898.6585424,9
1770590898.8005893,10
1770590899.0022295,9
1770590899.361419,10
1770590899.3819518,10
1770590899.5212903,9
1770590900.2526476,10
1770590900.8286445,11
1770590901.1923974,10
1770590901.4003518,11
1770590901.7109044,10
1770590901.9694488,11
1770590901.9902642,11
1770590902.8108819,12
1770590902.9154904,11
1770590903.1958373,12
1770590903.2177405,12
1770590903.3689244,11
1770590903.9084878,10
1770590904.3034225,11
1770590904.6536217,12
1770590904.9987605,13
1770590905.1820762,12
1770590905.2623851,11
1770590905.5709414,12
1770590905.5907462,12
1770590905.7086031,12
1770590906.2809725,11
1770590906.760469,12
1770590906.8846266,11
1770590907.3385065,12
1770590907.9002295,13
1770590907.9223807,13
1770590908.4752264,12
1770590908.6552267,11
1770590908.7591188,12
1770590908.7796547,12
1770590909.009582,11
1770590909.2085576,11
1770590909.3410168,10
1770590910.0289152,11
1770590910.5979989,12
1770590910.6192555,12
1770590911.032817,13
1770590911.4032607,12
1770590911.595973,13
1770590912.170614,14
1770590912.7291262,15
1770590912.7503061,15
1770590913.1381102,14
1770590913.2101357,14
1770590913.4890172,13
1770590913.5482395,12
1770590914.2614446,13
1770590914.8269293,14
1770590915.4075937,15
1770590915.4287968,15
1770590916.258446,16
1770590916.8223083,17
1770590916.8444014,17
1770590917.6537607,16
1770590917.7569714,17
1770590918.3193223,18
1770590918.3389442,18
1770590918.4331307,17
1770590918.7084844,17
1770590919.7547076,18
1770590919.7754905,18
1770590920.036482,17
1770590920.758929,18
1770590920.7801106,18
1770590921.207698,18
1770590922.0253325,19
1770590922.02543,18
1770590922.0254667,17
1770590922.0472941,17
1770590922.2079687,17
1770590923.2595696,18
1770590923.834767,19
1770590923.8547223,19
1770590924.747414,20
1770590924.8437,19
1770590925.3141427,20
1770590925.3334353,20
1770590926.2517135,21
1770590926.272233,21
1770590926.70812,21
1770590926.8957987,20
1770590927.3931527,19
1770590927.7630122,20
1770590928.1088278,21
1770590928.1298215,21
1770590928.7732298,22
1770590928.7733202,21
1770590928.7733562,20
1770590928.794469,20
1770590929.5253673,21
1770590929.547095,21
1770590929.7084134,21
1770590930.757491,22
1770590930.7778912,22
1770590931.010839,21
1770590931.5408201,20
1770590931.7399743,19
1770590931.7741165,20
1770590932.337226,21
1770590932.3580825,21
1770590933.0279932,22
1770590933.5942843,23
1770590933.614695,23
1770590933.7090163,23
1770590934.2865405,22
1770590934.5353403,23
1770590934.8860831,24
1770590934.9064794,24
1770590935.3690336,23
1770590935.5277004,24
1770590936.0992582,25
1770590936.119607,25
1770590936.5320196,26
1770590936.5485685,25
1770590937.1125603,26
1770590937.13324,26
1770590937.1900966,25
1770590937.209565,25
1770590937.708392,25
1770590937.854799,24
1770590938.8469608,25
1770590938.86796,25
1770590939.2096956,25
1770590939.7887168,24
1770590940.1019056,23
1770590940.2750854,24
1770590940.2952654,24
1770590940.6212554,23
1770590940.7922814,22
1770590941.2906883,23
1770590941.3113081,23
1770590942.2615485,24
1770590942.282424,24
1770590942.7074637,24
1770590942.7582254,23
1770590943.7971113,24
1770590943.818631,24
1770590944.529719,25
1770590944.5508094,25
1770590944.6950545,24
1770590945.0177755,23
1770590945.0903935,22
1770590945.2540324,23
1770590945.2749975,23
1770590945.7097483,23
1770590946.5835686,22
1770590946.7606018,23
1770590946.780389,23
1770590947.74624,24
1770590947.7663267,24
1770590948.524837,25
1770590949.0916731,26
1770590949.187843,25
1770590949.4498065,24
1770590949.47114,23
1770590949.7940245,24
1770590949.8125522,24
1770590949.8744678,23
1770590950.7514687,24
1770590950.7718947,24
1770590951.2083213,24
1770590952.261198,25
1770590952.547623,24
1770590952.9604268,25
1770590952.9803004,25
1770590953.0871892,24
1770590953.749679,25
1770590953.7696087,25
1770590953.8195758,24
1770590954.504769,23
1770590954.5314565,24
1770590954.5513327,24
1770590954.7087114,24
1770590955.2077646,24
1770590956.475901,25
1770590956.4959586,25
1770590957.2406223,26
1770590957.2609234,26
1770590957.6266158,25
1770590957.710676,25
1770590957.8789814,24
1770590958.519348,23
1770590958.7558029,24
1770590958.7772574,24
1770590958.9544182,23
1770590959.2096314,23
1770590960.0286553,24
1770590960.7312174,25
1770590961.4287887,26
1770590961.4492798,26
1770590962.2418664,27
1770590962.2532525,26
1770590962.262131,26
1770590962.708335,26
1770590962.88919,25
1770590963.0478663,24
1770590963.2084901,24
1770590963.5908837,23
1770590963.7083867,23
1770590964.744777,24
1770590964.766272,24
1770590965.3777552,23
1770590965.752203,24
1770590965.772309,24
1770590966.0154197,23
1770590966.555833,22
1770590966.984587,21
1770590967.0038488,22
1770590967.9250445,23
1770590967.9444282,23
1770590968.0054688,22
1770590968.2800338,21
1770590968.7608216,22
1770590969.702382,23
1770590970.409216,24
1770590970.4315462,24
1770590970.7786198,23
1770590970.8984709,22
1770590971.2490218,23
1770590971.2703056,23
1770590971.7084837,23
1770590971.7087996,22
1770590972.0583775,21
1770590972.2083833,21
1770590972.7095482,21
1770590973.20829,21
1770590973.4154925,20
1770590973.7080972,20
1770590974.2083123,20
1770590974.5236886,19
1770590974.7087286,19
1770590975.1008227,18
1770590975.2089124,18
1770590975.6632562,17
1770590975.7081301,17
1770590976.2087526,17
1770590976.563104,16
1770590976.7097554,16
1770590977.2083304,16
1770590977.709488,16
1770590978.2085762,16
1770590978.2570572,15
1770590978.7080112,15
1770590978.870333,14
1770590979.2084613,14
1770590979.6731448,13
1770590979.7087078,13
1770590980.20782,13
1770590980.5149217,12
1770590980.7083461,12
