customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer5335@localhost,1770590861.5214577,1770590861.521483,1770590864.353362,teller2@localhost,2.5272369384765625e-05,2.831904411315918
customer4824@localhost,1770590862.0910618,1770590862.0910838,1770590866.69876,teller4@localhost,2.193450927734375e-05,4.607698202133179
customer4341@localhost,1770590862.6509275,1770590862.6509445,1770590867.0279863,teller1@localhost,1.6927719116210938e-05,4.377058744430542
customer3119@localhost,1770590863.261998,1770590863.2620184,1770590866.415883,teller3@localhost,2.0503997802734375e-05,3.1538851261138916
customer4736@localhost,1770590864.257934,1770590864.3534074,1770590868.3414712,teller2@localhost,0.0954732894897461,4.0835371017456055
customer5591@localhost,1770590864.5978818,1770590888.8543491,1770590891.3152056,teller1@localhost,24.25646734237671,26.717323780059814
customer2950@localhost,1770590865.1637897,1770590866.6988475,1770590869.7116678,teller4@localhost,1.535057783126831,4.54787802696228
customer9707@localhost,1770590865.499886,1770590867.028106,1770590870.7795122,teller1@localhost,1.5282199382781982,5.279626131057739
customer3264@localhost,1770590866.237495,1770590868.3415194,1770590871.4688892,teller2@localhost,2.1040244102478027,5.231394290924072
customer8685@localhost,1770590866.8333526,1770590869.711756,1770590871.7382717,teller4@localhost,2.878403425216675,4.904919147491455
customer1327@localhost,1770590867.1702409,1770590870.1838706,1770590874.7813408,teller3@localhost,3.013629674911499,7.6110999584198
customer5989@localhost,1770590868.2501516,1770590870.7795894,1770590876.0188274,teller1@localhost,2.529437780380249,7.768675804138184
customer2678@localhost,1770590868.588712,1770590871.4689765,1770590874.5217505,teller2@localhost,2.8802645206451416,5.9330384731292725
customer8947@localhost,1770590869.2589283,1770590871.738443,1770590874.6676705,teller4@localhost,2.4795145988464355,5.408742189407349
customer2216@localhost,1770590869.8314407,1770590874.5218775,1770590879.2960446,teller2@localhost,4.690436840057373,9.464603900909424
customer6318@localhost,1770590871.2389412,1770590874.6677873,1770590876.8732822,teller4@localhost,3.4288461208343506,5.63434100151062
customer1544@localhost,1770590871.8264863,1770590874.781384,1770590878.716352,teller3@localhost,2.95489764213562,6.8898656368255615
customer4060@localhost,1770590872.380782,1770590876.0189476,1770590879.0422041,teller1@localhost,3.6381657123565674,6.661422252655029
customer5748@localhost,1770590872.9409897,1770590876.8734026,1770590881.9650834,teller4@localhost,3.93241286277771,9.024093627929688
customer4246@localhost,1770590873.5045047,1770590878.716452,1770590882.7094991,teller3@localhost,5.211947202682495,9.204994440078735
customer9280@localhost,1770590874.0204394,1770590879.0423262,1770590882.6748188,teller1@localhost,5.021886825561523,8.65437936782837
customer2383@localhost,1770590875.25095,1770590879.2961242,1770590882.2759204,teller2@localhost,4.0451741218566895,7.024970293045044
customer1579@localhost,1770590875.796608,1770590881.9651327,1770590886.691273,teller4@localhost,6.168524742126465,10.894665002822876
customer3721@localhost,1770590876.7405093,1770590882.276041,1770590885.7226593,teller2@localhost,5.535531759262085,8.982150077819824
customer6123@localhost,1770590877.735488,1770590882.6748695,1770590886.5584295,teller1@localhost,4.9393815994262695,8.822941541671753
customer2602@localhost,1770590878.7407842,1770590882.7095454,1770590885.150868,teller3@localhost,3.9687612056732178,6.410083770751953
customer8217@localhost,1770590879.7414052,1770590885.1509771,1770590889.4605815,teller3@localhost,5.409571886062622,9.719176292419434
